,Products,Prices,Link
38,TCL 20E Dual SIM - 32GB - 3GB RAM Smartphone - Blue,GH₵ 605.00,https://www.jumia.com.gh/generic-bluetooth-4.0-headset-universal-v9-business-wireless-32877772.html
39,Apple IPhone 5S 16GB With Finger Sensor 4G LTE ( Gift ) Refurbiished,GH₵ 440.00,https://www.jumia.com.gh/generic-2pcs-portable-speaker-high-volume-subwoofer-usb-black-31777702.html
40,Tecno POP 3 (BB2) Dual SIM - 16GB HDD - 1GB RAM Smartphone - Champaign Gold,GH₵ 444.30,https://www.jumia.com.gh/tripod-stand-with-led-ring-light-for-phones-laptop-plastic-black-arhanory-mpg454979.html
41,TCL L7 Smartphone - 32GB HDD - 2GB RAM - Black/Green,GH₵ 383.04,https://www.jumia.com.gh/xiaomi-redmi-airdot-pro-smart-touch-wireless-bluetooth-earphones-with-led-display-42321005.html?seller_product=1
42,Xiaomi Redmi 9A Smartphone - 32GB HDD - 2GB RAM - Granite Gray,GH₵ 650.00,https://www.jumia.com.gh/turf-2-in-1-type-c-usb-cable-white-42379242.html
43,Tecno Pop 5 - 32GB HDD - 2GB RAM - Dual Sim - Blue,GH₵ 665.00,https://www.jumia.com.gh/c2-05-2gsm-2.0-slide-touch-type-mp3-player-mobile-phone-nokia-mpg449407.html
44,Apple IPhone 5 - 16GB ROM +1GB RAM -8 MP- 4 Inch - Apple Smartphones,GH₵ 400.00 - GH₵ 450.00,https://www.jumia.com.gh/l7-smartphone-32gb-hdd-2gb-ram-black-tcl-mpg441224.html
45,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 69.12,https://www.jumia.com.gh/generic-metal-desktop-tablet-holder-universal-table-cell-phone-stand-34101421.html
46,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 69.12,https://www.jumia.com.gh/generic-f9-v5.1-wireless-bluetooth-digital-display-earphone-black-38611560.html
47,Lenovo LP40 Bluetooth 5.0 True Wireless Sport Headset - White,GH₵ 59.00,https://www.jumia.com.gh/generic-earphones-wireless-headphones-earbuds-gamer-headset-with-microphone-earpieces-bluetooth-for-xiaomi-huawei-iphone-samsung-34919434.html
