Timestamp,program,number of courses,year,curricular activities,time after  curricular activities,courses in week,"7. On average, how many assignments do you receive per week?",8.How often do you submit these assignments on time?,9. Do you wait until the last minute to study before examination?,10. Are you able to cover enough topics  before examination?,"11. In preparing for an academic work deadline, I often waste my time by doing other things ",12. I would classify myself as someone who is generally:
2021/07/17 12:10:14 PM GMT,Biochemistry ,6,Fourth,Yes,Sometimes,5,4,Very Often,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/17 12:10:44 PM GMT,Agricultural Biotechnology,9,Second,Yes,Sometimes,2,1,Very Often,Sometimes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/17 12:26:02 PM GMT,BSC.Statistics,7,Third,"No(If no,please move to question 6)",Sometimes,4,3,Very Often,No,Yes,Very often,Self motivated and always gets things done on time
2021/07/17 1:05:16 PM GMT,Bsc. Statistics,7,Third,"No(If no,please move to question 6)",Sometimes,3,5,Very Often,Sometimes,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/17 1:08:48 PM GMT,Bsc. Computer science ,8,Second,"No(If no,please move to question 6)",,4,4,Very Often,Sometimes,Yes,Never,Self motivated and always gets things done on time
2021/07/17 1:20:54 PM GMT,Statistics ,7,Third,Yes,Sometimes,3,2,Very Often,Sometimes,No,Never,Self motivated and always gets things done on time
2021/07/17 2:14:10 PM GMT,Forest Resources Technology,8,Third,Yes,Sometimes,3,1,Sometimes,Yes,Yes,Very often,Puts things off until the last minute or doesn't complete them
2021/07/17 3:03:30 PM GMT,Registered midwifery,8,Second,Yes,Sometimes,8,1,Very Often,No,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/17 3:07:47 PM GMT,Bsc. Statistics,6,Fourth,"No(If no,please move to question 6)",,4,2,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/17 4:38:40 PM GMT,Biomedical Engineering ,7,Third,"No(If no,please move to question 6)",,5,7,Very Often,Sometimes,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/17 5:03:27 PM GMT,Back statistics,7,First,"No(If no,please move to question 6)",,4,2,Very Often,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/17 6:56:49 PM GMT,Environmental science ,8,Second,Yes,Sometimes,4,2,Very Often,Sometimes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/17 7:03:52 PM GMT,Computer science ,7,First,"No(If no,please move to question 6)",,5,2,Very Often,Yes,Yes,Very often,Self motivated and always gets things done on time
2021/07/17 8:04:44 PM GMT,Bsc . Petroleum Engineering ,7,Fourth,Yes,Not at all,0,1,Very Often,Yes,No,Sometimes,Self motivated and always gets things done on time
2021/07/17 8:29:24 PM GMT,Biochemistry,8,Second,Yes,Always,8,6,Very Often,No,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/17 9:09:11 PM GMT,BA Geography and Sociology ,5,Second,"No(If no,please move to question 6)",,3,3,Very Often,Sometimes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/17 9:57:58 PM GMT,Biomedical science,9,Second,Yes,Sometimes,5,3,Very Often,No,No,Sometimes,Self motivated and always gets things done on time
2021/07/17 10:49:15 PM GMT,Mathematics ,6,Fourth,"No(If no,please move to question 6)",,4,3,Very Often,Sometimes,No,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/17 11:00:41 PM GMT,Nursing,9,Third,Yes,Always,9,4,Very Often,No,Yes,Never,Self motivated and sometimes gets things done ahead of time
2021/07/17 11:23:48 PM GMT,Masters in Business Administration ,6,First,Yes,Sometimes,1,2,Very Often,Yes,No,Sometimes,Puts things off until the last minute or doesn't complete them
2021/07/18 8:00:53 AM GMT,Bsc. Real Estate ,6,Second,Yes,Sometimes,6,2,Very Often,Sometimes,No,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/18 11:43:48 AM GMT,Bsc. Business Administration ,6,Third,Yes,Sometimes,6,2,Very Often,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/18 12:13:20 PM GMT,Chemistry,8,Second,Yes,Sometimes,5,2,Sometimes,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/18 12:38:28 PM GMT,Statistics ,7,Third,Yes,Sometimes,4,3,Very Often,Sometimes,No,Sometimes,Needs reminding to get things done on time
2021/07/18 2:00:39 PM GMT,Bsc statistics,7,Third,Yes,Sometimes,5,3,Sometimes,Yes,No,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/18 2:14:14 PM GMT,Bsc. Physics ,8,First,Yes,Sometimes,5,2,Very Often,Sometimes,No,Sometimes,Needs reminding to get things done on time
2021/07/18 2:17:43 PM GMT,Environmental Science,7,First,"No(If no,please move to question 6)",,4,6,Very Often,Sometimes,No,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/18 4:14:22 PM GMT,English,7,Fourth,Yes,Sometimes,3,4,Sometimes,Sometimes,No,Very often,Puts things off until the last minute or doesn't complete them
2021/07/18 4:21:20 PM GMT,Fashion,4,Third,Yes,Sometimes,2,3,Very Often,Yes,Yes,Sometimes,Needs reminding to get things done on time
2021/07/18 4:24:16 PM GMT,Bsc.Statistics ,7,Third,Yes,Always,3,4,Sometimes,No,No,Sometimes,Self motivated and always gets things done on time
2021/07/18 4:29:46 PM GMT,bsc. statistics,7,Third,Yes,Sometimes,4,1,Very Often,Sometimes,Yes,Sometimes,Needs reminding to get things done on time
2021/07/18 4:41:18 PM GMT,Geography,6,Third,Yes,Always,7,5,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/18 5:25:55 PM GMT,Nursing,7,Other:_____________________________________________________________,"No(If no,please move to question 6)",Always,4,3,Sometimes,No,No,Sometimes,Self motivated and always gets things done on time
2021/07/18 5:26:40 PM GMT,BSc. Aerospace Engineering,8,Second,Yes,Sometimes,4,4,Very Often,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/18 5:28:06 PM GMT,Bsc. Information technology ,6,Third,Yes,Always,4,5,Very Often,Sometimes,No,Sometimes,Needs reminding to get things done on time
2021/07/18 5:28:20 PM GMT,Bsc Psychology ,2,Second,"No(If no,please move to question 6)",,4,4,Very Often,No,Yes,Never,Self motivated and sometimes gets things done ahead of time
2021/07/18 5:37:55 PM GMT,Civil engineering ,9,Fourth,Yes,Sometimes,2,5,Very Often,Sometimes,No,Never,Self motivated and always gets things done on time
2021/07/18 5:40:10 PM GMT,IT,6,First,Yes,Sometimes,2,2,Sometimes,Yes,Yes,Very often,Puts things off until the last minute or doesn't complete them
2021/07/18 5:47:18 PM GMT,History,6,Third,"No(If no,please move to question 6)",Not at all,4,3,Very Often,Sometimes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/18 5:52:52 PM GMT,Biochemistry,8,Second,"No(If no,please move to question 6)",,5,8,Sometimes,No,Yes,Never,Self motivated and always gets things done on time
2021/07/18 6:08:12 PM GMT,BSc Economics ,6,First,"No(If no,please move to question 6)",,5,3,Very Often,Sometimes,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/18 6:17:02 PM GMT,Statistics ,7,Third,"No(If no,please move to question 6)",,3,2,Very Often,Yes,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/18 6:26:35 PM GMT,Biochemistry,8,Second,Yes,Sometimes,6,12,Very Often,Sometimes,Yes,Never,Self motivated and sometimes gets things done ahead of time
