Timestamp,program,number of courses,year,curricular activities,time after  curricular activities,courses in week,"7. On average, how many assignments do you receive per week?",8.How often do you submit these assignments on time?,9. Do you wait until the last minute to study before examination?,10. Are you able to cover enough topics  before examination?,"11. In preparing for an academic work deadline, I often waste my time by doing other things ",12. I would classify myself as someone who is generally:
2021/07/20 9:12:14 PM GMT,BA PUBLISHING STUDIES ,6,First,Yes,Sometimes,6,2,Sometimes,Sometimes,No,Very often,Puts things off until the last minute or doesn't complete them
2021/07/20 9:16:46 PM GMT,Electrical Engineering ,7,First,Yes,Always,7,3,Very Often,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/20 9:17:03 PM GMT,Telecommunication Engineering,7,First,"No(If no,please move to question 6)",,3,1,Very Often,Sometimes,No,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/20 9:21:10 PM GMT,Veterinary medicine ,7,First,Yes,Sometimes,3,2,Very Often,Yes,Yes,Sometimes,Needs reminding to get things done on time
2021/07/20 9:21:40 PM GMT,Chemical engineering,7,First,Yes,Always,7,3,Very Often,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/20 9:24:05 PM GMT,BA Sociology,8,First,"No(If no,please move to question 6)",,5,2,Very Often,No,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/20 9:33:21 PM GMT,Bsc Agriculture ,9,Second,Yes,Sometimes,6,1,Sometimes,Yes,Yes,Very often,Self motivated and always gets things done on time
2021/07/20 9:36:32 PM GMT,Natural resource management,6,First,"No(If no,please move to question 6)",Always,4,2,Very Often,No,No,Sometimes,Self motivated and always gets things done on time
2021/07/20 9:40:45 PM GMT,BA LINGUISTICS ,9,First,Yes,Sometimes,2,1,Very Often,Sometimes,Yes,Very often,Needs reminding to get things done on time
2021/07/20 9:43:00 PM GMT,Accounting,6,Third,"No(If no,please move to question 6)",,3,1,Sometimes,Sometimes,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/20 9:46:57 PM GMT,Medical imaging ,7,First,"No(If no,please move to question 6)",,1,1,Sometimes,Sometimes,No,Sometimes,Puts things off until the last minute or doesn't complete them
2021/07/20 9:48:00 PM GMT,Bsc Computer science ,7,First,Yes,Sometimes,8,5,Very Often,No,Yes,Never,Self motivated and sometimes gets things done ahead of time
2021/07/20 10:07:11 PM GMT,computer engineering ,8,First,"No(If no,please move to question 6)",,0,3,Sometimes,Yes,Yes,Very often,Puts things off until the last minute or doesn't complete them
2021/07/20 10:26:59 PM GMT,Bsc. Computer Engineering ,8,First,"No(If no,please move to question 6)",,3,1,Sometimes,Sometimes,No,Sometimes,Needs reminding to get things done on time
2021/07/20 10:38:59 PM GMT,BSC. Human Resources Management ,7,First,"No(If no,please move to question 6)",,3,3,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/20 10:40:19 PM GMT,Political Studies ,5,Fourth,Yes,Sometimes,3,3,Sometimes,Sometimes,No,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/20 10:43:23 PM GMT,BA History ,8,First,"No(If no,please move to question 6)",,3,4,Very Often,Sometimes,Yes,Never,Puts things off until the last minute or doesn't complete them
2021/07/20 10:52:20 PM GMT,BSC REAL ESTATE ,7,First,Yes,Sometimes,4,4,Very Often,Sometimes,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/20 10:52:21 PM GMT,BA.ECONOMICS ,9,First,"No(If no,please move to question 6)",,5,1,Very Often,Yes,Yes,Very often,Needs reminding to get things done on time
2021/07/20 10:57:04 PM GMT,BSc. Biochemistry ,8,First,"No(If no,please move to question 6)",,8,2,Very Often,Sometimes,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/20 11:08:52 PM GMT,Business administration marketing ,7,First,"No(If no,please move to question 6)",Sometimes,7,4,Very Often,Yes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/20 11:18:43 PM GMT,Computer engineering,8,First,Yes,Sometimes,2,3,Very Often,Yes,No,Sometimes,Self motivated and always gets things done on time
2021/07/20 11:19:49 PM GMT,Bsc Computer Engineering,8,First,"No(If no,please move to question 6)",,8,2,Very Often,Sometimes,Yes,Never,Self motivated and sometimes gets things done ahead of time
2021/07/20 11:42:29 PM GMT,Human Resource Management/Management ,7,First,Yes,Always,6,2,Very Often,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/21 12:18:45 AM GMT,BSC Physics,8,First,Yes,Sometimes,4,2,Very Often,Yes,No,Sometimes,Puts things off until the last minute or doesn't complete them
2021/07/21 3:07:06 AM GMT,Forest resources technology ,8,First,"No(If no,please move to question 6)",Sometimes,6,5,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/21 5:01:43 AM GMT,Bsc. Statistics ,7,Third,Yes,Sometimes,7,3,Very Often,No,No,Sometimes,Self motivated and always gets things done on time
2021/07/21 6:53:17 AM GMT,BSc Actuarial Science ,7,First,Yes,Sometimes,5,3,Sometimes,Yes,No,Very often,Self motivated and always gets things done on time
2021/07/21 7:14:33 AM GMT,Biochemistry,8,Second,"No(If no,please move to question 6)",Not at all,8,4,Very Often,No,Yes,Never,Self motivated and sometimes gets things done ahead of time
2021/07/21 7:34:47 AM GMT,Business Administration ,7,First,Yes,Sometimes,1,0,Very Often,Sometimes,Yes,Sometimes,Needs reminding to get things done on time
2021/07/21 8:55:52 AM GMT,Geography ,8,Second,Yes,Not at all,4,1,Very Often,Yes,No,Very often,Needs reminding to get things done on time
2021/07/21 9:06:04 AM GMT,Business Administration ,6,Third,"No(If no,please move to question 6)",,2,3,Very Often,Sometimes,Yes,Sometimes,Needs reminding to get things done on time
2021/07/21 10:51:19 AM GMT,Biochemistry,7,Third,"No(If no,please move to question 6)",,7,0,Very Often,Yes,Yes,Very often,Puts things off until the last minute or doesn't complete them
2021/07/21 10:52:44 AM GMT,Petrochemical engineering,8,Third,Yes,Sometimes,1,2,Very Often,Yes,Yes,Sometimes,Puts things off until the last minute or doesn't complete them
2021/07/21 1:04:38 PM GMT,Bsc. statistics,7,Second,Yes,Always,7,1,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/21 4:35:45 PM GMT,Bsc.Midwifery,9,Second,"No(If no,please move to question 6)",,7,1,Very Often,Yes,Yes,Never,Self motivated and always gets things done on time
2021/07/21 6:00:50 PM GMT,Bsc Telecommunication Engineering ,7,Third,Yes,Sometimes,2,3,Sometimes,No,No,Sometimes,Needs reminding to get things done on time
2021/07/22 12:51:26 AM GMT,Metallurgical Engineering,7,First,Yes,Sometimes,4,5,Very Often,No,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/22 7:56:25 AM GMT,Automotive engineering ,7,First,Yes,Sometimes,3,2,Very Often,Sometimes,No,Very often,Puts things off until the last minute or doesn't complete them
2021/07/22 1:42:48 PM GMT,Quantity surveying,9,First,"No(If no,please move to question 6)",Sometimes,9,4,Very Often,No,No,Sometimes,Self motivated and always gets things done on time
2021/07/22 4:09:10 PM GMT,Bsc. chemistry,7,First,Yes,Always,5,2,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/22 5:31:10 PM GMT,BSC Statistics ,7,Third,Yes,Sometimes,2,2,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/22 5:36:01 PM GMT,Bsc. Biochemistry,7,Third,Yes,Always,4,2,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/22 5:41:09 PM GMT,BSC Aquaculture and water resources ,6,Third,"No(If no,please move to question 6)",,6,2,Sometimes,Sometimes,No,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/22 7:16:22 PM GMT,Geography and Rural development ,6,Third,Yes,Sometimes,3,2,Very Often,Sometimes,Yes,Sometimes,Puts things off until the last minute or doesn't complete them
2021/07/22 8:37:35 PM GMT,Statistics ,7,Fourth,Yes,Always,5,3,Very Often,Yes,No,Never,Self motivated and always gets things done on time
2021/07/22 10:48:24 PM GMT,Doctor of Optometry,8,Second,Yes,Always,5,3,Very Often,Sometimes,Yes,Never,Self motivated and always gets things done on time
2021/07/23 12:05:24 AM GMT,Economics ,2,Other:_____________________________________________________________,"No(If no,please move to question 6)",,3,4,Very Often,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/23 8:22:40 AM GMT,Statistics ,7,Third,Yes,Sometimes,4,4,Sometimes,Sometimes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/23 10:49:38 AM GMT,Statistics,7,Third,Yes,Sometimes,1,4,Very Often,Sometimes,Yes,Sometimes,Puts things off until the last minute or doesn't complete them
2021/07/23 11:30:04 AM GMT,BSc Construction Technology and Management,8,Third,Yes,Always,5,8,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/23 11:34:04 AM GMT,Bsc Statistics ,5,Fourth,Yes,Sometimes,2,2,Sometimes,Sometimes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/23 11:45:42 AM GMT,Bsc.Natural Resources Management ,7,Third,"No(If no,please move to question 6)",Sometimes,3,5,Very Often,Yes,Yes,Never,Self motivated and always gets things done on time
2021/07/23 12:17:13 PM GMT,Geography,6,Third,Yes,Always,6,1,Very Often,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/23 12:23:30 PM GMT,Natural resources Management ,7,Third,"No(If no,please move to question 6)",,7,4,Very Often,No,Yes,Never,Self motivated and sometimes gets things done ahead of time
2021/07/23 3:54:43 PM GMT,BSc. Mathematics ,7,Third,"No(If no,please move to question 6)",,2,3,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/23 4:04:05 PM GMT,BSc Agriculture ,9,Second,"No(If no,please move to question 6)",Sometimes,9,3,Very Often,Sometimes,No,Sometimes,Needs reminding to get things done on time
2021/07/23 6:55:06 PM GMT,BA Sociology ,8,Second,Yes,Always,7,1,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/23 7:45:53 PM GMT,computer engineering,6,Third,"No(If no,please move to question 6)",,3,1,Very Often,Sometimes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/23 8:35:37 PM GMT,Land Economy,8,First,Yes,Not at all,3,5,Very Often,Yes,Yes,Very often,Self motivated and always gets things done on time
2021/07/24 8:03:24 AM GMT,Bsc. Fashion Design ,3,Third,"No(If no,please move to question 6)",,5,3,Very Often,No,Yes,Never,Self motivated and always gets things done on time
